gzceers_id,candels_id,ra,dec,z_candels,bar_type,vollim_flag
88109357,21571,214.905445,52.896068,0.8265,No,True
88110232,24773,214.930688,52.931978,0.83034,No,True
88118238,19962,214.816128,52.825599,0.8353,No,True
88110328,25199,214.886438,52.902572,0.8412,Weak,False
88114120,27298,214.784931,52.838236,0.84873,Weak,True
88111380,26867,214.87494,52.903427,0.8512,No,True
88113097,22002,214.801832,52.825389,0.859,Weak,True
88117345,15701,214.866952,52.840999,0.875,No,False
88106155,28919,214.981722,52.998767,0.88387,No,True
88106495,30554,215.011203,53.013766,0.891,No,False
88111471,27292,214.931485,52.945134,0.8933,No,True
88111126,25616,214.881683,52.902044,0.897,Weak,True
88111941,30374,214.915247,52.944972,0.898,No,False
88116990,13942,214.822717,52.800927,0.907,No,False
88117959,18658,214.85759,52.849374,0.9137,No,True
88108810,21076,214.971823,52.942582,0.913758,No,True
88118436,21098,214.816415,52.83018,0.914456,No,True
88105891,26812,215.011783,52.995524,0.915165,No,True
88113028,21369,214.800137,52.823188,0.93,No,False
88118242,19672,214.816073,52.826217,0.935,No,False
88113050,21463,214.783916,52.812076,0.937,No,False
88108464,22194,215.022212,52.984047,0.945,Weak,False
88114663,28162,214.782251,52.848874,0.948,No,False
88106745,27894,215.020276,53.013294,0.9501,Strong,True
88110268,24976,214.909322,52.917299,0.9502,Weak,False
88117205,15079,214.899436,52.86031,0.95131,No,True
88115379,28251,214.825869,52.892108,0.953,Strong,True
88110013,23862,214.933904,52.929559,0.9547,Weak,True
88107986,23441,214.978497,52.959208,0.9595,No,True
88118320,20142,214.825489,52.83422,0.96,Strong,False
88117990,18681,214.826795,52.828188,0.9617,Weak,False
88115387,28335,214.744635,52.834441,0.9628,Strong,False
88111546,27514,214.860872,52.896673,0.9703,Strong,False
88114498,31505,214.760328,52.830562,0.972,Weak,True
88113765,24818,214.782775,52.827709,0.975,No,True
88113362,22950,214.783983,52.818615,0.9773,No,False
88112350,29121,214.886378,52.933623,0.9785,Strong,False
88107706,24323,215.006874,52.984684,0.9808,No,False
88107814,24199,215.006984,52.98197,0.9867,No,True
88107854,23817,215.006543,52.980836,0.9869,No,True
88114820,30359,214.810844,52.870428,0.992,Weak,True
88108303,22680,215.024892,52.986898,1.0072,No,True
88111305,26770,214.852222,52.88583,1.0094,Weak,True
88116185,11366,214.837932,52.796052,1.0166,No,True
88105643,26716,214.947217,52.955033,1.019,No,False
88111771,31354,214.852361,52.896313,1.023,Weak,False
88114909,30495,214.824561,52.880704,1.0233,No,False
88118511,21313,214.795182,52.817652,1.0249,Weak,True
88112446,21746,214.887008,52.88655,1.041,No,False
88108515,22226,214.968976,52.945368,1.0419,Strong,True
88107923,23478,214.957835,52.945657,1.042,No,False
88107483,25146,214.976001,52.96668,1.04521,No,False
88108700,21624,214.983208,52.952008,1.053,No,True
88110121,24121,214.867305,52.885099,1.053,No,True
88117551,16771,214.866441,52.846544,1.059,Weak,False
88109230,20638,214.961283,52.932709,1.0605,No,True
88106271,29422,214.952314,52.976405,1.0621,No,True
88109501,21743,214.88649,52.886167,1.07,Weak,False
88116537,12320,214.903425,52.849401,1.071,No,False
88107828,23940,214.952826,52.943933,1.089,Strong,False
88106801,31643,214.942884,52.95834,1.092,No,False
88113687,24586,214.79307,52.832568,1.0929,No,True
88109483,21981,214.943121,52.925319,1.098,No,True
88108140,22968,215.006421,52.976985,1.10013,Weak,False
88107646,24659,214.958252,52.950751,1.102,No,False
88115096,29351,214.822445,52.883493,1.102453,No,True
88106125,29185,214.930828,52.963412,1.1042,No,True
88111505,27608,214.921112,52.937943,1.1048,No,True
88114596,27976,214.83587,52.885567,1.11,No,True
88106522,31720,214.989497,52.997537,1.11171,Weak,True
88107318,25680,214.994951,52.983044,1.11171,No,True
88109691,22799,214.938356,52.927431,1.11171,No,True
88106259,29396,214.942202,52.969282,1.1127,Weak,True
88106370,30836,214.95386,52.975509,1.1158,No,True
88107038,27059,214.991153,52.986102,1.1188,No,True
88111816,30958,214.845478,52.892656,1.1251,Weak,False
88117314,15374,214.838753,52.819576,1.153,No,False
88116280,11381,214.857112,52.810894,1.158,No,True
88109412,21505,214.902772,52.895315,1.1635,No,True
88113211,22291,214.837132,52.853033,1.1705,No,False
88118798,16056,214.826974,52.812766,1.1707,No,True
88107051,27039,214.964375,52.967088,1.17385,No,True
88117864,18195,214.834487,52.831573,1.174,No,False
88110023,24154,214.874252,52.886936,1.1742,Strong,True
88106124,29151,214.929799,52.963162,1.175,No,True
88113044,21891,214.814495,52.833334,1.1759,Weak,True
